"entity_id","domain","state","friendly_name","device_class","unit_of_measurement"
"conversation.home_assistant","conversation","2026-01-08T15:51:20.294370+00:00","Home Assistant","",""
"event.backup_automatic_backup","event","2026-01-09T10:37:16.816+00:00","Backup Automatic backup","",""
"sensor.backup_backup_manager_state","sensor","idle","Backup Backup Manager state","enum",""
"sensor.backup_next_scheduled_automatic_backup","sensor","2026-01-10T10:01:07+00:00","Backup Next scheduled automatic backup","timestamp",""
"sensor.backup_last_successful_automatic_backup","sensor","2026-01-09T10:37:16+00:00","Backup Last successful automatic backup","timestamp",""
"sensor.backup_last_attempted_automatic_backup","sensor","2026-01-09T10:21:24+00:00","Backup Last attempted automatic backup","timestamp",""
"binary_sensor.remote_ui","binary_sensor","on","Remote UI","connectivity",""
"stt.home_assistant_cloud","stt","unknown","Home Assistant Cloud","",""
"tts.home_assistant_cloud","tts","2026-01-08T19:42:31.345082+00:00","Home Assistant Cloud","",""
"script.toggle_main_lights","script","off","Toggle All Main Lights","",""
"input_boolean.media_photos_visible","input_boolean","on","Media Photos Visible","",""
"input_boolean.hvac_auto_comfort","input_boolean","on","HVAC Auto Comfort","",""
"zone.home","zone","4","Home","",""
"input_boolean.front_porch_virtual_toggle","input_boolean","on","Front porch virtual toggle","",""
"zone.loblolly","zone","0","Loblolly","",""
"zone.eagles_basketball_gym","zone","0","Basketball SC ","",""
"zone.fort_gordon","zone","0","Fort Gordon","",""
"zone.h","zone","4","Home","",""
"zone.loblolly_2","zone","0","Loblolly ","",""
"person.admin","person","Home","ADMIN","",""
"person.tuella_sowu","person","Home","Tuella","",""
"person.kitchen_tab","person","unknown","Kitchen Tab","",""
"person.paul","person","home","Paul","",""
"person.mauriece","person","Home","Mauriece","",""
"camera.wyze_cam","camera","unavailable","Wyze Cam","",""
"camera.pan_cam","camera","idle","Pan Cam","",""
"camera.redbase","camera","idle","Redbase","",""
"camera.loblolly","camera","idle","Loblolly","",""
"sun.sun","sun","below_horizon","Sun","",""
"sensor.sun_next_dawn","sensor","2026-01-10T12:05:32+00:00","Sun Next dawn","timestamp",""
"sensor.sun_next_dusk","sensor","2026-01-10T23:06:47+00:00","Sun Next dusk","timestamp",""
"sensor.sun_next_midnight","sensor","2026-01-11T05:36:27+00:00","Sun Next midnight","timestamp",""
"sensor.sun_next_noon","sensor","2026-01-10T17:35:46+00:00","Sun Next noon","timestamp",""
"sensor.sun_next_rising","sensor","2026-01-10T12:33:10+00:00","Sun Next rising","timestamp",""
"sensor.sun_next_setting","sensor","2026-01-10T22:39:09+00:00","Sun Next setting","timestamp",""
"sensor.serverbrowsermod_browser_id","sensor","unavailable","serverBrowsermod Browser ID","",""
"sensor.serverbrowsermod_browser_path","sensor","unavailable","serverBrowsermod Browser path","",""
"sensor.serverbrowsermod_browser_visibility","sensor","unavailable","serverBrowsermod Browser visibility","",""
"sensor.serverbrowsermod_browser_useragent","sensor","unavailable","serverBrowsermod Browser userAgent","",""
"sensor.serverbrowsermod_browser_user","sensor","unavailable","serverBrowsermod Browser user","",""
"binary_sensor.serverbrowsermod_browser_fullykiosk","binary_sensor","unavailable","serverBrowsermod Browser FullyKiosk","",""
"sensor.serverbrowsermod_browser_width","sensor","unavailable","serverBrowsermod Browser width","","px"
"sensor.serverbrowsermod_browser_height","sensor","unavailable","serverBrowsermod Browser height","","px"
"binary_sensor.serverbrowsermod_browser_dark_mode","binary_sensor","unavailable","serverBrowsermod Browser dark mode","",""
"binary_sensor.serverbrowsermod","binary_sensor","unavailable","serverBrowsermod","motion",""
"light.serverbrowsermod_screen","light","unavailable","serverBrowsermod Screen","",""
