"entity_id","domain","state","friendly_name","device_class","unit_of_measurement"
"conversation.home_assistant","conversation","2025-11-23T04:29:39.791233+00:00","Home Assistant","",""
"event.backup_automatic_backup","event","2025-12-09T11:02:03.129+00:00","Backup Automatic backup","",""
"sensor.backup_backup_manager_state","sensor","idle","Backup Backup Manager state","enum",""
"sensor.backup_next_scheduled_automatic_backup","sensor","2025-12-10T10:18:38+00:00","Backup Next scheduled automatic backup","timestamp",""
"sensor.backup_last_successful_automatic_backup","sensor","2025-12-08T10:28:13+00:00","Backup Last successful automatic backup","timestamp",""
"sensor.backup_last_attempted_automatic_backup","sensor","2025-12-09T10:30:39+00:00","Backup Last attempted automatic backup","timestamp",""
"binary_sensor.remote_ui","binary_sensor","on","Remote UI","connectivity",""
"stt.home_assistant_cloud","stt","unknown","Home Assistant Cloud","",""
"tts.home_assistant_cloud","tts","2025-11-24T18:41:02.527589+00:00","Home Assistant Cloud","",""
"script.toggle_main_lights","script","off","Toggle All Main Lights","",""
"zone.loblolly","zone","2","Loblolly","",""
"zone.eagles_basketball_gym","zone","0","Eagles Basketball Gym","",""
"zone.eagles_bball_gym","zone","0","Eagles BBall Gym","",""
"input_boolean.hp_presence","input_boolean","off","HP Presence","",""
"zone.home","zone","0","Case De Sowu","",""
"input_boolean.front_porch_virtual_toggle","input_boolean","on","Front porch virtual toggle","",""
"person.paul_sowu","person","unknown","ADMIN","",""
"person.tuella_sowu","person","Loblolly","Tuella Sowu","",""
"person.kitchen_tab","person","unknown","Kitchen Tab","",""
"person.paul","person","Loblolly","Paul","",""
"sensor.average_home_temperature","sensor","69.8","Average Home Temperature","temperature","°F"
"sensor.kitchen_range_status","sensor","Unknown","Kitchen Range Status","",""
"sun.sun","sun","below_horizon","Sun","",""
"sensor.sun_next_dawn","sensor","2025-12-10T11:53:56+00:00","Sun Next dawn","timestamp",""
"sensor.sun_next_dusk","sensor","2025-12-10T22:48:52+00:00","Sun Next dusk","timestamp",""
"sensor.sun_next_midnight","sensor","2025-12-11T05:21:55+00:00","Sun Next midnight","timestamp",""
"sensor.sun_next_noon","sensor","2025-12-10T17:21:07+00:00","Sun Next noon","timestamp",""
"sensor.sun_next_rising","sensor","2025-12-10T12:21:52+00:00","Sun Next rising","timestamp",""
"sensor.sun_next_setting","sensor","2025-12-10T22:20:56+00:00","Sun Next setting","timestamp",""
"sensor.browser_mod_894b5c77_6e7739c8_browser_id","sensor","browser_mod_894b5c77_6e7739c8","browser_mod_894b5c77_6e7739c8 Browser ID","",""
"sensor.browser_mod_894b5c77_6e7739c8_browser_path","sensor","/hp-control-center/home","browser_mod_894b5c77_6e7739c8 Browser path","",""
"sensor.browser_mod_894b5c77_6e7739c8_browser_visibility","sensor","visible","browser_mod_894b5c77_6e7739c8 Browser visibility","",""
"sensor.browser_mod_894b5c77_6e7739c8_browser_useragent","sensor","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","browser_mod_894b5c77_6e7739c8 Browser userAgent","",""
"sensor.browser_mod_894b5c77_6e7739c8_browser_user","sensor","Kitchen Tab","browser_mod_894b5c77_6e7739c8 Browser user","",""
