"entity_id","domain","state","friendly_name","device_class","unit_of_measurement"
"conversation.home_assistant","conversation","2026-02-16T01:39:52.430368+00:00","Home Assistant","",""
"event.backup_automatic_backup","event","2026-02-25T10:13:37.383+00:00","Backup Automatic backup","",""
"sensor.backup_backup_manager_state","sensor","idle","Backup Backup Manager state","enum",""
"sensor.backup_next_scheduled_automatic_backup","sensor","2026-02-26T10:17:18+00:00","Backup Next scheduled automatic backup","timestamp",""
"sensor.backup_last_successful_automatic_backup","sensor","2026-02-25T10:13:37+00:00","Backup Last successful automatic backup","timestamp",""
"sensor.backup_last_attempted_automatic_backup","sensor","2026-02-25T10:12:53+00:00","Backup Last attempted automatic backup","timestamp",""
"camera.wyze_cam","camera","idle","Wyze Cam","",""
"camera.pan_cam","camera","idle","Pan Cam","",""
"camera.redbase","camera","unavailable","Redbase","",""
"camera.loblolly","camera","idle","Loblolly","",""
"binary_sensor.remote_ui","binary_sensor","on","Remote UI","connectivity",""
"stt.home_assistant_cloud","stt","unknown","Home Assistant Cloud","",""
"tts.home_assistant_cloud","tts","2026-02-24T01:53:14.033058+00:00","Home Assistant Cloud","",""
"script.toggle_main_lights","script","off","Toggle All Main Lights","",""
"script.spotify_send_to","script","off","Spotify: Send to Speaker","",""
"input_select.featured_camera","input_select","pan_cam","Featured Camera","",""
"input_boolean.hvac_auto_comfort","input_boolean","on","HVAC Auto Comfort","",""
"input_boolean.main_lights_master","input_boolean","off","Main Lights Master","",""
"input_boolean.hp_presence","input_boolean","off","HP Presence","",""
"input_boolean.media_photos_visible","input_boolean","on","Media Photos Visible","",""
"input_boolean.study_blinds_auto","input_boolean","on","Study Blinds Auto Schedule","",""
"input_boolean.great_room_blinds_auto","input_boolean","on","Great Room Blinds Auto Schedule","",""
"input_boolean.dining_room_blinds_auto","input_boolean","on","Dining Room Blinds Auto Schedule","",""
"zone.home","zone","4","Home","",""
"input_boolean.front_porch_virtual_toggle","input_boolean","on","Front porch virtual toggle","",""
"zone.loblolly","zone","0","Loblolly","",""
"zone.eagles_basketball_gym","zone","0","Basketball SC ","",""
"zone.fort_gordon","zone","0","Fort Gordon","",""
"zone.h","zone","4","Home","",""
"zone.loblolly_2","zone","0","Loblolly ","",""
"person.admin","person","Home","ADMIN","",""
"person.tuella_sowu","person","Home","Tuella","",""
"person.kitchen_tab","person","unknown","Kitchen Tab","",""
"person.paul","person","home","Paul","",""
"person.mauriece","person","Home","Mauriece","",""
"sensor.average_home_temperature","sensor","72.9","Average Home Temperature","temperature","°F"
"sensor.kitchen_range_status","sensor","Off","Kitchen Range Status","",""
"sensor.hp_browser_id","sensor","browser_mod_894b5c77_6e7739c8","HP Browser ID","",""
"sensor.hp_browser_path","sensor","/command-center/cameras","HP Browser path","",""
"sensor.hp_browser_visibility","sensor","hidden","HP Browser visibility","",""
"sensor.hp_browser_useragent","sensor","Mozilla/5.0 (Linux; Android 16; SM-S928U1 Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/145.0.7632.79 Mobile Safari/537.36 Home Assistant/2026.2.1-20142 (Android 16; SM-S928U1)","HP Browser userAgent","",""
"sensor.hp_browser_user","sensor","Paul","HP Browser user","",""
"binary_sensor.hp_browser_fullykiosk","binary_sensor","off","HP Browser FullyKiosk","",""
"sensor.hp_browser_width","sensor","960","HP Browser width","","px"
"sensor.hp_browser_height","sensor","2006","HP Browser height","","px"
"binary_sensor.hp_browser_dark_mode","binary_sensor","on","HP Browser dark mode","",""
"binary_sensor.hp","binary_sensor","off","HP","motion",""
"light.hp_screen","light","on","HP Screen","",""
"media_player.hp","media_player","off","HP","",""
"sensor.hp_panel","sensor","Command Center - Cameras","HP Panel","",""
"camera.hp","camera","idle","HP","",""
